CommonName,species,Order,Family,Body_mass_g,Radar ,Distance_m,Time,,,,,
Rose-breasted Grosbeak,Pheucticus_ludovicianus,Passeriformes,Cardinalidae,42,13.66,3873.19,nocturnal,,,,,
Eastern Towhee,Pipilo_erythrophthalmus   ,Passeriformes,Passerellidae,42,NA,NA,nocturnal,night,,,,
Wood Thrush,Hylocichla_mustelina,Passeriformes,Turdidae,50.09,15.45,2821.42,,,,,,
Yellow-bellied Sapsucker,Sphyrapicus_varius,Piciformes,Picidae,50.3,15.5,2844.64,nocturnal,,,,,
Black-billed Cuckoo,Coccyzus_erythropthalmus,Cuculiformes,Cuculidae,50.9,15.63,5673.94,,night,,,,
Dunlin,Calidris_alpina,Charadriiformes,Scolopacidae,51.89,15.84,3375.6,,night,,,,
Eastern Whip-poor-will,Antrostomus_vociferus,Caprimulgiformes,Caprimulgidae,53.3,16.14,2656.17,,,,,,
Wilson's Phalarope,Steganopus_tricolor,Charadriiformes,Scolopacidae,59.39,17.41,9488.91,,,,,,
Yellow-billed Cuckoo,Coccyzus_americanus,Cuculiformes,Cuculidae,64,18.34,5999.37,nocturnal,,,,,
Brown Thrasher,Toxostoma_rufum,Passeriformes,Mimidae,68.8,19.29,959.67,,,,,,
Red-headed Woodpecker,Melanerpes_erythrocephalus,Piciformes,Picidae,71.6,19.84,504.94,,,,,,
Long-billed Dowitcher,Limnodromus_scolopaceus,Charadriiformes,Scolopacidae,104.4,25.83,5819.56,,,,,,
Chuck-will s-widow,Antrostomus_carolinensis,Caprimulgiformes,Caprimulgidae,109,26.62,2011.37,,,,,,
Northern Flicker,Colaptes_auratus,Piciformes,Picidae,131.46,30.34,1451.01,,both,,,,
Red Knot,Calidris_canutus,Charadriiformes,Scolopacidae,141.87,32.01,7997.91,,,,,,
American Golden-Plover,Pluvialis_dominica,Charadriiformes,Charadriidae,151.47,33.51,11956.14,,,,,,
Upland Sandpiper,Bartramia_longicauda,Charadriiformes,Scolopacidae,158.92,34.65,9330.97,,,,,,
Greater Yellowlegs,Tringa_melanoleuca,Charadriiformes,Scolopacidae,161.74,35.08,7507.96,,,,,,
American Woodcock,Scolopax_minor,Charadriiformes,Scolopacidae,196.32,40.17,981.97,,,,,,
Willet,Tringa_semipalmata,Charadriiformes,Scolopacidae,245.7,47,3451.52,,,,,,
Black-bellied Plover,Pluvialis_squatarola,Charadriiformes,Charadriidae,250,47.57,6733.63,,,,,,
Hudsonian Godwit,Limosa_haemastica,Charadriiformes,Scolopacidae,253.29,48.01,12884.09,,,,,,
American Avocet,Recurvirostra_americana,Charadriiformes,Recurvirostridae,304.48,54.6,1776.25,,,,,,
Green-winged Teal,Anas_crecca,Anseriformes,Anatidae,341.89,59.21,2199.9,,,,,,
Marbled Godwit,Limosa_fedoa,Charadriiformes,Scolopacidae,357.02,61.04,2492.19,,,,,,
Blue-winged Teal,Spatula_discors,Anseriformes,Anatidae,359.44,61.32,3672.42,,,,,,
Cinnamon Teal,Spatula_cyanoptera,Anseriformes,Anatidae,377.45,63.46,1543.71,,,,,,
Bufflehead,Bucephala_albeola,Anseriformes,Anatidae,397.46,65.79,2218.87,,,,,,
Long-billed Curlew,Numenius_americanus,Charadriiformes,Scolopacidae,583.86,86.1,1971.54,,,,,,
Ruddy Duck,Oxyura_jamaicensis,Anseriformes,Anatidae,608.15,88.59,1214.89,,night,,,,
Northern Shoveler,Spatula_clypeata,Anseriformes,Anatidae,612.56,89.04,3392.15,,,,,,
Ring-necked Duck,Aythya_collaris,Anseriformes,Anatidae,704.55,98.19,2168.7,,,,,,
American Wigeon,Mareca_americana,Anseriformes,Anatidae,754.61,103.02,3051.58,,,https://doi.org/10.1371/journal.pone.0129340,,,
Lesser Scaup,Aythya_affinis,Anseriformes,Anatidae,819.45,109.14,3492.69,,,,,,
Northern Pintail,Anas_acuta,Anseriformes,Anatidae,944.62,120.55,3231.63,,,https://doi.org/10.3389/fevo.2019.00380,,,
Canvasback,Aythya_valisineria,Anseriformes,Anatidae,1202,142.68,2779.59,,,"https://birdsoftheworld-org.ezaccess.libraries.psu.edu/bow/historic/bna/rthhum/2.0/introduction, https://doi-org.ezaccess.libraries.psu.edu/10.1642/AUK-15-160.1",,,
Ross's Goose,Anser_rossii,Anseriformes,Anatidae,1635.99,177.01,3312.73,,,from map :(,,,
Greater White-fronted Goose,Anser_albifrons,Anseriformes,Anatidae,2506.39,238.56,4364.25,,,https://doi.org/10.1016/j.cub.2021.04.019,,,
